INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-33-1300-2019-a07,CA0331300,4/13/2019,22:49,RIVERSIDE,RIVERSIDE,CA,92507,FALSE,FALSE,TRUE,TRUE,in_progress,,1,3,1
URSUS-33-1300-2019-a31,CA0331300,9/4/2019,22:27,RIVERSIDE,RIVERSIDE,CA,92506,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-33-1300-2019-c45,CA0331300,1/19/2019,19:11,RIVERSIDE,RIVERSIDE,CA,92503,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,2,1
URSUS-33-1300-2019-e52,CA0331300,9/4/2019,02:01,RIVERSIDE,RIVERSIDE,CA,92505,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-33-1500-2019-038,CA0331500,9/10/2019,17:56,CORONA,RIVERSIDE,CA,92882,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-33-1500-2019-1c4,CA0331500,4/12/2019,19:50,CORONA,RIVERSIDE,CA,92881,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,1,1
URSUS-33-1500-2019-63c,CA0331500,11/22/2019,16:23,CORONA,RIVERSIDE,CA,92882,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-33-1500-2019-70a,CA0331500,9/1/2019,17:34,CORONA,RIVERSIDE,CA,92882,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-33-2500-2019-556,CA0332500,12/16/2019,20:19,CATHEDRAL CITY,RIVERSIDE,CA,92234,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-33-2500-2019-569,CA0332500,1/13/2019,15:42,CATHEDRAL CITY,RIVERSIDE,CA,92234,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-33-4200-2019-45a,CA0334200,7/22/2019,00:42,MURRIETA,RIVERSIDE,CA,92563,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,3,1
URSUS-33-4200-2019-ccc,CA0334200,2/7/2019,11:23,MURRIETA,RIVERSIDE,CA,92562,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,2,1
